LSOA code,local authority name,local authority code,All usual residents,White British,White Irish,White Gypsy/Irish Traveller,White Roma,White Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Mixed Other,Asian Bangladeshi,Asian Chinese,Asian Indian,Asian Pakistani,Asian Other,Black African,Black Caribbean,Black Other,Other Arab,Other Any other
E01000001,City of London,E09000001,1473,822,31,0,11,318,27,7,2,18,4,66,49,2,37,8,3,0,22,46
E01000002,City of London,E09000001,1384,735,42,0,6,302,25,4,2,29,6,103,37,2,33,7,2,0,13,36
E01000003,City of London,E09000001,1608,813,32,0,4,343,35,15,7,43,11,51,37,2,50,32,15,8,19,91
E01000005,City of London,E09000001,1104,259,20,0,6,148,16,12,20,31,258,35,23,1,31,75,27,15,26,101
E01032739,City of London,E09000001,1622,564,27,0,22,484,38,8,18,47,4,121,128,13,55,15,3,1,21,53
E01032740,City of London,E09000001,1393,459,34,0,13,470,32,4,7,20,0,168,48,12,53,13,4,2,12,42
E01000006,Barking and Dagenham,E09000002,1850,239,15,0,13,338,16,15,15,26,215,11,161,409,89,129,42,30,5,82
E01000007,Barking and Dagenham,E09000002,2907,323,13,4,65,434,28,44,73,35,326,39,229,249,83,648,94,89,23,108
E01000008,Barking and Dagenham,E09000002,1794,284,4,0,0,162,3,24,36,23,198,8,40,173,39,637,32,47,13,71
E01000009,Barking and Dagenham,E09000002,1796,240,5,3,4,294,17,18,10,8,214,20,193,394,58,142,38,20,6,112
E01000011,Barking and Dagenham,E09000002,1702,176,5,3,10,291,15,3,8,15,250,8,138,457,80,123,30,18,10,62
E01000012,Barking and Dagenham,E09000002,2352,267,3,0,17,362,24,28,20,53,285,7,146,269,81,538,88,58,29,77
E01000013,Barking and Dagenham,E09000002,1865,755,17,1,24,319,16,15,16,15,128,25,51,58,53,275,34,29,4,30
E01000014,Barking and Dagenham,E09000002,1754,770,14,0,9,276,5,12,12,17,161,17,41,54,31,226,30,41,9,29
E01000015,Barking and Dagenham,E09000002,2420,955,12,10,1,385,9,19,45,37,153,10,51,80,79,352,65,70,18,69
E01000016,Barking and Dagenham,E09000002,1848,760,6,0,10,293,6,5,19,16,118,3,36,49,59,293,40,47,19,69
E01000017,Barking and Dagenham,E09000002,1726,687,15,0,2,181,18,16,27,18,160,1,48,91,65,284,26,41,15,31
E01000018,Barking and Dagenham,E09000002,1781,802,16,2,8,287,13,21,29,11,104,5,41,48,35,279,15,35,4,26
E01000019,Barking and Dagenham,E09000002,1659,490,8,0,18,208,10,14,13,21,174,10,128,208,43,186,41,18,3,66
