LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01000001,9,10,10,10,10,10,3,3
E01000002,10,10,10,10,10,10,4,4
E01000003,5,6,5,9,6,9,1,2
E01000005,3,2,3,4,6,10,1,3
E01032739,7,10,10,10,8,10,1,1
E01032740,6,10,9,10,7,10,1,1
E01000006,5,5,7,6,7,6,1,4
E01000007,3,2,4,7,5,2,1,4
E01000008,2,2,2,4,4,4,1,3
E01000009,3,3,4,6,3,2,1,3
E01000010,3,3,6,7,5,1,1,1
E01000011,3,3,5,4,6,3,1,2
E01000012,2,2,5,5,6,3,1,2
E01000013,2,2,3,4,3,1,1,3
E01000014,2,3,3,3,4,2,1,4
E01000015,2,2,3,4,5,4,1,4
E01000016,3,3,3,3,4,3,1,4
E01000017,2,2,2,4,3,4,1,4
E01000018,2,2,3,4,4,3,1,4
E01000019,2,3,3,4,3,3,1,4
E01000020,2,2,3,4,2,3,1,3
E01000021,2,2,3,3,4,3,1,1
E01000022,2,3,3,3,4,3,1,3
E01000023,2,2,4,4,5,1,1,2
E01000024,3,4,4,3,4,4,1,3
E01000025,2,2,3,4,4,2,1,4
E01000027,2,2,3,2,5,1,1,5
E01000028,2,2,2,3,1,6,1,6
E01000029,4,5,6,5,7,4,1,5
E01000030,2,2,2,2,5,3,1,5
E01000031,4,4,6,6,5,2,2,4
E01000032,3,4,4,4,5,2,1,2
E01000033,2,2,3,3,4,5,1,5
E01000034,2,2,3,3,3,4,1,6
E01000035,4,4,5,4,4,4,1,4
E01000036,5,5,6,6,6,4,2,4
E01000037,5,6,4,5,8,6,3,5
E01000038,5,4,6,5,6,5,3,4
E01000039,4,4,6,5,5,5,1,6
E01000040,2,2,3,3,5,3,1,3
E01000041,3,3,4,3,4,4,1,3
E01000042,2,2,2,3,3,4,1,4
E01000043,3,4,5,3,5,3,1,3
E01000044,3,4,6,4,7,1,1,1
E01000045,2,3,3,4,4,1,1,2
E01000046,3,3,4,3,4,6,1,3
E01000048,1,1,2,4,3,4,1,5
E01000049,2,1,3,3,4,4,1,4
E01000050,2,3,4,4,3,2,1,2
E01000051,2,2,3,3,4,2,1,4
E01000052,2,3,4,3,6,4,1,2
E01000053,2,2,3,3,3,1,1,4
E01000054,3,3,5,4,4,3,1,3
E01000055,3,2,4,3,5,5,1,3
E01000056,2,3,3,4,3,3,1,4
E01000057,3,3,4,3,5,3,1,3
E01000058,3,3,4,4,5,4,1,4
E01000059,3,3,3,3,5,4,1,3
E01000060,2,2,3,4,4,1,1,4
E01000061,1,1,2,2,2,5,1,6
E01000062,3,4,5,3,6,3,1,5
E01000063,2,3,3,2,4,4,1,2
E01000064,2,2,3,4,4,5,1,3
E01000065,2,2,2,4,2,4,1,3
E01000066,4,4,4,5,5,7,1,6
E01000067,5,4,7,6,7,4,1,5
E01000068,4,5,6,5,5,2,1,3
E01000069,6,6,6,5,8,5,2,3
E01000070,5,5,6,6,7,2,2,4
E01000071,5,4,7,6,7,6,1,5
E01000072,2,2,3,3,3,1,1,3
E01000073,2,2,3,3,3,1,1,4
E01000074,2,2,3,3,3,6,1,5
E01000075,2,3,4,2,5,1,1,2
E01000076,2,2,3,2,5,4,1,4
E01000077,2,2,2,3,3,3,1,2
E01000078,2,2,3,3,5,3,1,3
E01000079,2,2,3,4,5,4,1,3
E01000080,3,3,3,4,3,5,1,4
E01000081,3,3,4,3,4,5,1,3
E01000082,3,3,4,3,6,7,1,3
E01000083,2,3,3,3,4,4,1,2
E01000084,2,2,3,2,4,1,1,3
E01000085,2,3,3,2,6,1,1,3
E01000086,2,2,3,3,2,2,1,4
E01000087,2,2,3,3,5,5,1,3
E01000088,3,4,4,5,4,3,1,2
E01000089,3,4,5,4,6,5,1,2
E01000090,3,3,5,4,6,2,1,3
E01000091,2,2,2,3,4,2,1,4
E01000092,2,2,4,5,5,3,1,3
E01000093,1,2,2,3,2,1,1,1
E01000094,3,3,5,7,6,3,1,5
E01000095,3,3,5,4,6,2,1,5
E01000096,2,2,3,3,5,1,1,3
E01000097,2,2,3,3,2,3,1,3
E01000098,2,2,2,3,3,2,1,3
E01000099,3,3,4,4,4,6,1,4
E01000100,3,3,4,3,5,3,1,2
E01000101,2,2,2,3,3,2,1,2
E01000102,2,1,2,4,3,2,1,3
E01000103,3,3,4,4,4,3,1,5
E01000104,2,2,3,3,4,5,1,6
E01000105,1,2,2,2,2,1,1,4
E01000106,2,1,2,3,3,2,1,4
E01000107,3,4,5,3,3,6,1,5
E01000108,3,3,4,5,5,5,1,2
E01000109,4,5,5,4,6,2,1,3
E01000110,5,5,6,6,5,7,2,5
E01000111,3,3,4,5,5,4,1,4
E01000112,4,4,7,5,7,3,1,2
E01000113,4,4,5,5,6,2,1,4
E01000114,4,5,6,5,6,4,1,2
E01032580,2,3,3,4,3,2,1,4
E01033587,2,3,4,5,6,3,1,2
E01033588,2,2,3,4,3,4,1,5
E01000115,9,8,8,9,10,8,7,5
E01000116,9,7,8,9,10,7,6,6
E01000117,8,7,7,8,10,6,5,6
E01000118,8,7,7,8,10,7,5,6
E01000119,7,7,8,9,10,3,4,5
E01000120,10,8,9,9,10,8,6,6
E01000121,2,2,2,4,4,4,1,7
E01000122,8,7,8,10,10,8,2,5
E01000123,8,7,8,8,9,8,2,6
E01000124,4,3,3,6,8,3,2,5
E01000125,3,3,5,4,8,3,1,5
E01000126,2,2,2,6,6,6,1,4
E01000127,3,3,3,4,8,4,1,5
E01000128,3,3,4,4,7,2,2,4
E01000129,3,2,4,4,6,2,1,4
E01000130,3,3,4,5,7,2,1,2
E01000131,5,5,6,7,9,1,1,5
E01000132,4,3,4,4,7,4,2,4
E01000133,3,3,2,4,6,5,1,4
E01000134,4,3,5,5,8,6,1,4
E01000135,7,7,8,9,9,4,4,3
E01000136,8,9,10,10,10,5,3,2
E01000137,3,2,3,8,5,4,2,5
E01000138,3,3,3,8,8,1,2,3
E01000139,7,6,9,9,10,3,4,3
E01000140,6,5,6,7,9,6,3,3
E01000141,3,4,5,7,9,1,2,1
E01000142,6,4,6,8,8,7,2,3
E01000143,3,2,2,5,6,2,2,5
E01000144,5,5,5,8,9,2,2,3
E01000145,6,6,6,9,10,5,3,3
E01000146,5,5,5,9,10,3,2,3
E01000147,7,7,9,7,10,4,3,3
E01000148,3,3,4,6,6,6,1,3
E01000150,6,5,7,7,10,6,2,3
E01000151,2,1,2,5,6,5,1,5
E01000152,3,2,3,4,8,5,1,6
E01000153,2,1,2,2,6,2,1,6
E01000154,3,3,3,4,5,2,1,5
E01000155,5,4,7,7,10,6,1,1
E01000156,9,7,9,10,9,6,5,5
E01000157,7,6,8,7,9,7,4,3
E01000158,5,4,5,7,8,3,3,3
E01000159,6,5,6,9,10,3,2,6
E01000160,7,7,8,8,9,3,3,4
E01000161,6,5,8,9,8,3,3,5
E01000162,5,5,4,7,8,3,4,4
E01000163,3,3,3,6,5,4,1,5
E01000164,4,3,4,7,8,2,2,3
E01000165,7,6,8,9,10,5,2,6
E01000166,6,5,5,8,9,4,3,7
E01000167,3,3,3,4,5,3,2,6
E01000168,9,8,9,9,10,6,5,5
E01000169,7,6,7,9,10,3,4,4
E01000170,5,4,4,7,8,3,5,4
E01000171,4,3,4,6,6,4,3,3
E01000172,9,7,9,10,10,9,4,4
E01000173,8,6,8,9,10,6,6,4
E01000174,6,4,6,8,8,7,3,3
E01000175,9,8,8,10,10,5,5,6
E01000176,3,2,3,5,7,4,1,6
E01000177,9,8,10,9,10,5,5,3
E01000178,9,8,8,10,10,6,5,4
E01000179,9,7,9,10,8,6,4,5
E01000180,6,4,6,9,9,7,3,5
E01000181,9,8,9,10,10,5,5,3
E01000182,9,9,10,10,10,6,5,2
E01000183,8,6,8,10,8,8,3,5
E01000184,3,2,3,5,6,4,1,2
E01000185,4,2,3,6,6,7,2,5
E01000186,10,9,9,9,10,8,6,5
E01000187,7,5,7,8,8,8,3,6
E01000188,9,10,9,10,10,3,5,4
E01000189,4,4,5,4,9,8,1,1
E01000190,8,6,7,9,10,7,4,6
E01000191,9,8,8,10,10,8,5,5
E01000192,6,5,7,8,9,3,3,4
E01000193,6,6,6,8,10,3,3,3
E01000194,5,5,6,9,9,2,2,3
E01000195,3,3,4,4,8,5,1,5
E01000196,7,6,6,9,10,8,3,5
E01000197,7,6,7,10,10,5,3,2
E01000198,7,6,8,10,10,8,2,4
E01000199,9,8,9,10,10,6,3,6
E01000200,8,6,8,10,10,6,4,5
E01000201,9,9,10,10,10,6,6,3
E01000202,9,8,10,10,10,8,4,4
E01000203,6,5,6,9,10,8,1,4
E01000204,8,7,8,10,10,4,5,4
E01000205,9,8,9,10,10,5,5,4
E01000206,8,10,10,10,10,5,1,4
E01000207,9,9,9,10,10,8,5,4
E01000208,9,10,10,10,10,5,3,5
E01000209,9,9,9,10,10,6,4,5
E01000210,9,8,10,10,10,4,6,4
E01000211,6,5,6,9,9,7,3,4
E01000212,8,8,6,10,10,7,4,4
E01000213,9,10,10,10,10,8,2,3
E01000214,8,9,9,10,10,4,2,4
E01000215,7,5,7,8,8,8,2,5
E01000216,8,7,7,10,10,7,4,5
E01000217,8,7,7,7,10,7,4,3
E01000218,6,5,6,7,9,5,3,4
E01000219,5,6,5,6,9,4,2,3
E01000220,6,5,5,8,8,7,3,3
E01000221,1,1,2,4,4,1,1,3
E01000222,3,3,3,6,7,2,1,3
E01000223,2,2,3,4,5,2,1,3
E01000224,5,4,4,6,9,6,3,4
E01000225,8,7,8,8,9,6,3,5
E01000226,3,2,3,4,4,6,1,3
E01000227,8,6,8,9,10,8,3,6
E01000228,7,6,8,9,10,3,3,6
E01000229,4,4,4,7,9,5,1,6
E01000230,9,7,9,8,10,7,5,7
E01000231,6,5,7,9,10,5,1,5
E01000232,6,5,6,9,9,5,3,5
E01000233,8,7,8,9,10,6,5,5
E01000234,8,7,8,9,10,7,4,6
E01000235,4,3,4,5,8,3,2,3
E01000236,8,6,7,9,10,8,4,4
E01000237,8,8,9,10,10,4,3,3
E01000238,6,6,6,9,10,6,3,3
E01000239,4,4,6,8,9,6,1,4
E01000240,5,5,7,9,10,5,1,3
E01000241,8,7,9,10,10,6,2,4
E01000242,5,4,5,9,9,4,1,5
E01000243,7,6,8,9,9,5,3,2
E01000244,6,7,7,8,9,4,3,1
E01000245,4,3,3,7,7,3,2,3
E01000246,8,9,9,10,10,3,2,5
E01000247,8,7,7,10,10,8,3,7
E01000248,9,9,9,10,10,3,6,5
E01000249,10,10,9,10,10,5,5,6
E01000250,7,5,6,9,10,5,4,5
E01000251,5,4,4,8,8,5,4,5
E01000252,7,5,6,10,9,5,2,7
E01000253,8,9,10,9,9,5,2,7
E01000254,9,9,10,10,10,6,3,3
E01000255,5,4,5,8,9,5,3,4
E01000256,8,7,9,9,10,6,2,6
E01000257,4,3,3,5,7,4,1,5
E01000258,8,8,9,9,10,4,5,4
E01000259,7,6,7,9,10,4,3,5
E01000260,5,5,6,7,9,5,1,4
E01000261,9,9,10,10,10,9,2,5
E01000262,7,6,8,8,10,7,2,6
E01000263,10,10,10,10,10,7,3,5
E01000264,6,5,6,9,10,5,2,3
E01000265,6,4,5,8,9,7,3,5
E01000266,9,9,10,10,10,3,5,5
E01000267,7,6,7,10,9,8,2,3
E01000268,6,4,6,7,9,6,4,5
E01000269,8,7,8,9,10,5,3,5
E01000270,7,6,6,10,10,5,3,5
E01000271,9,9,10,10,10,8,3,6
E01000272,10,10,10,10,10,6,5,7
E01000273,7,5,5,9,9,6,4,5
E01000274,6,4,5,8,9,6,4,5
E01000275,7,5,7,10,9,9,2,7
E01000276,10,10,10,10,10,10,4,7
E01000277,5,4,4,9,9,9,2,5
E01000278,10,10,10,10,10,10,3,5
E01000279,8,10,10,10,10,3,1,7
E01000280,10,10,10,10,10,8,5,6
E01000281,8,6,7,8,9,6,4,6
E01000282,9,8,9,10,10,5,4,5
E01000283,10,10,10,10,10,9,3,7
E01000284,6,4,5,9,8,6,3,6
E01000285,6,5,5,8,8,5,3,6
E01000286,4,3,3,7,7,3,2,4
E01000287,4,3,4,4,7,4,3,5
E01000288,7,6,7,8,10,5,3,5
E01000289,2,2,2,3,7,3,1,6
E01000290,5,5,4,7,8,3,1,7
E01000291,3,2,2,4,7,2,1,7
E01000292,7,7,6,9,10,5,5,6
E01000293,9,8,9,10,10,5,6,5
E01000294,7,6,5,10,7,9,4,7
E01000295,7,8,7,10,10,3,4,2
E01000296,7,6,8,9,10,4,3,4
E01000297,8,7,9,8,10,7,4,5
E01000298,7,6,8,10,10,4,3,4
E01000299,6,5,7,10,8,4,3,2
E01000300,7,6,7,10,8,6,3,5
E01000301,9,9,8,10,10,7,5,5
E01000302,6,4,5,8,8,7,3,6
E01000303,9,8,10,10,10,8,2,7
E01000304,7,6,7,9,8,8,2,4
E01000305,3,3,4,6,8,3,1,2
E01000306,7,7,9,6,9,5,2,3
E01000307,4,4,5,5,9,2,2,3
E01000308,3,2,4,4,8,1,1,3
E01000309,7,6,7,9,10,6,2,4
E01000310,5,5,7,6,9,4,1,4
E01000311,8,9,8,10,10,3,3,3
E01000312,4,4,5,7,7,7,1,5
E01000313,5,5,6,7,8,5,1,3
E01000314,8,8,9,10,10,3,3,4
E01000315,3,2,2,4,7,2,2,5
E01000316,5,4,6,9,9,2,2,3
E01000317,8,6,8,10,10,7,4,5
E01000318,6,5,7,9,10,3,4,4
E01000319,8,7,8,10,10,5,4,4
E01000320,8,7,9,10,10,7,3,5
E01000321,6,5,6,9,9,6,4,3
E01000322,6,5,6,10,10,7,3,3
E01000323,5,5,6,9,8,3,3,2
E01000324,7,6,6,9,8,5,4,5
E01033572,4,3,5,7,9,4,2,3
E01033573,5,6,9,9,10,7,1,1
E01000325,10,9,9,7,10,7,6,7
E01000326,7,8,9,5,10,6,2,4
E01000327,9,9,9,7,9,7,6,6
E01000328,7,8,8,5,8,2,5,7
E01000329,6,6,6,5,9,4,4,5
E01000330,5,5,5,6,6,7,4,3
E01000331,3,4,3,3,5,4,2,5
E01000332,6,5,6,5,9,4,5,4
E01000333,4,3,3,3,5,5,4,4
E01000334,7,6,7,5,9,7,3,7
E01000335,3,3,5,2,7,2,1,3
E01000336,3,2,3,4,6,4,1,4
E01000337,5,3,5,6,8,5,3,4
E01000338,5,5,6,5,7,4,3,3
E01000339,6,5,4,4,7,6,7,7
